query,answer,description,sku,original_request,description,sku,items_count,mass_units,length_units,length,mass
2000x1000x6 chapa inox 304 l/C 1 ud,CHAPA INOX. 2000x1000x6 A304L LC,CHAPA INOX. 2000x1000x6 A304L LC,111420100060,2000x1000x6 chapa inox 304 l/c 1 ud,chapa inox. 2000x1000x6 a304l lc,111420100060,1,,,,
"angulo inox a304 20x20x3mm= 24 mts,",ANGULOS 20x20x3 A-304 L.C.,ANGULOS 20x20x3 A-304 L.C.,271402002003,"angulo inox a304 20x20x3mm= 24 mts,",angulos 20x20x3 a-304 l.c.,271402002003,1,,m,24.0,
"1 angulo 25x25x3 aisi 304 lc,",ANGULOS 25x25x3 A-304 L.C.,ANGULOS 25x25x3 A-304 L.C.,271402502503,"1 angulo 25x25x3 aisi 304 lc,",angulos 25x25x3 a-304 l.c.,271402502503,1,,,,
"angulo inox a304 25x25x3mm = 24 mts,",ANGULOS 25x25x3 A-304 L.C.,ANGULOS 25x25x3 A-304 L.C.,271402502503,"angulo inox a304 25x25x3mm = 24 mts,",angulos 25x25x3 a-304 l.c.,271402502503,1,,m,24.0,
ANGULO AISI304 25X25X3 MM,ANGULOS 25x25x3 A-304 L.C.,ANGULOS 25x25x3 A-304 L.C.,271402502503,angulo aisi304 25x25x3 mm,angulos 25x25x3 a-304 l.c.,271402502503,,,,,
"1 ud angulo en acero inoxidable de 316 de x 25x25x3,",ANGULOS 25x25x3 A-316 L.C.,ANGULOS 25x25x3 A-316 L.C.,275402502503,"1 ud angulo en acero inoxidable de 316 de x 25x25x3,",angulos 25x25x3 a-316 l.c.,275402502503,1,,,,
"angulo inox a304 30x30x3mm = 24 mts,",ANGULOS 30x30x3 A-304 L.C.,ANGULOS 30x30x3 A-304 L.C.,271403003003,"angulo inox a304 30x30x3mm = 24 mts,",angulos a304 30x30x3 lc pulido,271203003003,1,,m,24.0,
1 ANGULO 30X3 AISI 304,ANGULOS 30x30x3 A-304 L.C.,ANGULOS 30x30x3 A-304 L.C.,271403003003,1 angulo 30x3 aisi 304,angulos 30x30x3 a-304 l.c.,271403003003,1,,,,
"1 angulo 40x40x4 aisi 304 lc,",ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,"1 angulo 40x40x4 aisi 304 lc,",angulos 40x40x4 a-304 l.c.,271404004004,1,,,,
"1 angulo 40x40x4 aisi 304 lc,",ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,"1 angulo 40x40x4 aisi 304 lc,",angulos 40x40x4 a-304 l.c.,271404004004,1,,,,
"1 angulo 40x40x4 aisi 304 lc,",ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,"1 angulo 40x40x4 aisi 304 lc,",angulos 40x40x4 a-304 l.c.,271404004004,1,,,,
"angulo inox a304 40x40x4mm = 24 mts,",ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,"angulo inox a304 40x40x4mm = 24 mts,",angulos 40x40x4 a-304 l.c.,271404004004,1,,m,24.0,
"1 paq. angulo 40x40x4 a-304,",ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,"1 paq. angulo 40x40x4 a-304,",angulos a304 40x40x4 lc pulido,271204004004,1,,,,
PERFIL ANGULAR 40x40x4 INOX,ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,perfil angular 40x40x4 inox,angulos 40x40x4 a-304 l.c.,271404004004,,,,,
"5. Ã¡ngulo 50x50x5 inox304,",ANGULOS 50x50x5 A-304 L.C.,ANGULOS 50x50x5 A-304 L.C.,271405005005,"5. ã¡ngulo 50x50x5 inox304,",angulos 50x50x5 a-304 l.c.,271405005005,5,,,,
"1 paq. angulo 50x50x5 a-304,",ANGULOS 50x50x5 A-304 L.C.,ANGULOS 50x50x5 A-304 L.C.,271405005005,"1 paq. angulo 50x50x5 a-304,",angulos 50x50x5 a-304 l.c.,271405005005,1,,,,
"angulo inox a304 30x30x1mm pulido = 60 mts,",ANGULOS A304 30x30x1 PULIDOS,ANGULOS A304 30x30x1 PULIDOS,3L12303010,"angulo inox a304 30x30x1mm pulido = 60 mts,",angulos a304 30x30x1 pulidos,3l12303010,1,,m,60.0,
"angulo inox a304 40x40x1,5mm pulido = 6 mts,","ANGULOS A304 40x40x1,5 PULIDOS","ANGULOS A304 40x40x1,5 PULIDOS",3L12404015,"angulo inox a304 40x40x1,5mm pulido = 6 mts,","angulos a304 40x40x1,5 pulidos",3l12404015,1,,m,6.0,
Brida plana EN-1092-1 Type 1 PN-10 DN600 A-304,"BRIDA PLANA DIN2576 01A DN600/609,6 PN10 ISO A304","BRIDA PLANA DIN2576 01A DN600/609,6 PN10 ISO A304",40G1025766006100,brida plana en-1092-1 type 1 pn-10 dn600 a-304,brida plana en1092-1 01a dn200/204 pn10 mm a304,40g1025762002040,,,,,
Brida plana EN-1092-1 Type 1 PN-10 DN100 A-304,"BRIDA PLANA EN1092-1 01A DN100/114,3 PN10/16 ISO A304","BRIDA PLANA EN1092-1 01A DN100/114,3 PN10/16 ISO A304",40G1025761001143,brida plana en-1092-1 type 1 pn-10 dn100 a-304,brida ciega en1092-1-05a dn100 pn10/16  a304,40h102527100,,,,,
Brida plana EN-1092-1 Type 1 PN-10 DN200 A-304,"BRIDA PLANA EN1092-1 01A DN200/219,3 PN10 ISO A304","BRIDA PLANA EN1092-1 01A DN200/219,3 PN10 ISO A304",40G1025762002193,brida plana en-1092-1 type 1 pn-10 dn200 a-304,brida ciega en1092-1-05a dn200 pn10  a304,40h102527200,,,,,
Brida plana EN-1092-1 Type 1 PN-10 DN400 A-304,"BRIDA PLANA EN1092-1 01A DN400/406,4 PN10 ISO A304","BRIDA PLANA EN1092-1 01A DN400/406,4 PN10 ISO A304",40G1025764004064,brida plana en-1092-1 type 1 pn-10 dn400 a-304,brida ciega en1092-1-05a dn400 pn10  a304,40h102527400,,,,,
4 bridas Ø2”,"BRIDA PLANA EN1092-1 01A DN50/60,3 PN10/40 ISO A316","BRIDA PLANA EN1092-1 01A DN50/60,3 PN10/40 ISO A316",40G5025760500603,4 bridas de 2”,redondo inox. a-304 de 2,21100020,4,,,,
3 bridas en 3,"BRIDA PLANA EN1092-1 01A DN80/88,9 PN10/16 ISO A304","BRIDA PLANA EN1092-1 01A DN80/88,9 PN10/16 ISO A304",40G1025760800889,3 bridas en 3,redondo inox. a-303 de 3,21200030,,,,,
"304-2B 2000X1000X0,5","CHAPA INOX. 2000x1000x0,5 A304 2B","CHAPA INOX. 2000x1000x0,5 A304 2B",111120100005,"304-2b 2000x1000x0,5","chapa inox. 2000x1000x0,5 a304 2b",111120100005,1,,,,
